doi,title,abstract,journal,publisher,label,reason,extra
10.1002/aelm.202400095,Characteristics of MAPbI<sub>3</sub> Stacked on the GaN Nanowires‐On‐Glass,"<jats:title>Abstract</jats:title><jats:p>When implementing optoelectronic devices through the stacking of heterogeneous materials, considering the bandgap offset is crucial for achieving efficient carrier dynamics. In this study, the bandgap offset characteristics are investigated when <jats:italic>n</jats:italic>‐type gallium nitride nanowires (<jats:italic>n</jats:italic>‐GaN NWs) are used as electron transport layers in methylammonium lead iodide (MAPbI<jats:sub>3</jats:sub>)‐based optoelectronic devices. <jats:italic>n</jats:italic>‐GaN NWs are grown on indium‐tin‐oxide (ITO)‐coated glass via the plasma‐assisted molecular beam epitaxy (PA‐MBE) process to form the “GaN NWs‐on‐glass” platform. A MAPbI<jats:sub>3</jats:sub> thin film is then spin‐coated on the GaN NWs‐on‐glass. X‐ray photoelectron spectroscopy (XPS) shows that the valence and conduction band offsets in the MAPbI<jats:sub>3</jats:sub>/<jats:italic>n</jats:italic>‐GaN heterostructure are 2.19 and 0.40 eV, respectively, indicating a type‐II band alignment ideal for optoelectronic applications. Prototype photovoltaic devices stacking perovskite on GaN NWs‐on‐glass show excellent interfacial charge‐transfer ability, photon recycling, and carrier extraction efficiency. As a pioneering step in exploiting the diverse potential of the GaN‐on‐glass, it is demonstrated that the junction characteristics of MAPbI<jats:sub>3</jats:sub>/<jats:italic>n</jats:italic>‐GaN NW heterostructures can lead to a variety of optoelectronic device applications.</jats:p>",Advanced Electronic Materials,Wiley,True,Experimental single-junction PSC device fabrication and characterization,False
10.1002/solr.202400214,Alleviating the Angular Dependence of Perovskite Solar Cells via Light‐Harvesting Nanostructure,"<jats:p>Over the past decade, perovskite solar cells (PSCs) have witnessed a remarkable surge in power conversion efficiency (<jats:italic>PCE</jats:italic>). However, the electrical output performance of PSCs is dependent on the incident angle of solar radiation, and energy loss occurs during photovoltaic conversion when light impinges at angles. Herein, a perovskite‐light‐absorbed layer with inverse opal structure is used to fabricate PSCs and reduce the angular dependence of the performance. In the results, it is demonstrated that ordered periodic perovskite inverse opal (PVSK–IO) not only exhibits a remarkable slow‐photon effect for enhancing the absorption of sunlight near the photonic bandgap (PBG), but also promotes the carrier transfer by expanding the contact area with hole‐transport layer. Moreover, the slow‐photon region of PBG can be intentionally tuned by changing the direction of sunlight illumination, thereby more intuitively delaying and storing light in the PVSK–IO layer. As a consequence, the slow‐photon effect originated from the PVSK–IO structure efficiently improves the short‐circuit current density, resulting in a higher <jats:italic>PCE</jats:italic> than that of planar devices under the irradiation from different incident angles. In this research, a rational strategy is offered for enhancing the performance of PSCs while alleviating their angular dependence.</jats:p>",Solar RRL,Wiley,True,Experimental nanostructured single‑junction PSC study,False
10.1039/d4nr02046d,Efficient and stable semitransparent perovskite photovoltaics <i>via</i> a Lewis base incorporation,"<jats:p>Owing to improved crystallinity and low trap-state density and matched energy levels of the perovskite, efficient and stable semitransparent perovskite solar cells were achieved.</jats:p>",Nanoscale,Royal Society of Chemistry (RSC),True,Experimental semitransparent single-junction PSC optimization,False
10.1126/sciadv.abd1580,Chemical anti-corrosion strategy for stable inverted perovskite solar cells,<jats:p>Chemical anticorrosion of metal electrode with benzotriazole inhibitor enhances the stability of perovskite solar cells.</jats:p>,Science Advances,American Association for the Advancement of Science (AAAS),True,Experimental anti-corrosion for single-junction PSC stability.,False
10.1002/adma.202309487,Constructing Ultra‐Shallow Near‐Edge States for Efficient and Stable Perovskite Solar Cells,"<jats:title>Abstract</jats:title><jats:p>Electronic band structure engineering of metal‐halide perovskites (MHP) lies at the core of fundamental materials research and photovoltaic applications. However, reconfiguring the band structures in MHP for optimized electronic properties remains challenging. This article reports a generic strategy for constructing near‐edge states to improve carrier properties, leading to enhanced device performances. The near‐edge states are designed around the valence band edge using theoretical prediction and constructed through tailored material engineering. These states are experimentally revealed with activation energies of around 23 milli‐electron volts by temperature‐dependent time‐resolved spectroscopy. Such small activation energies enable prolonged carrier lifetime with efficient carrier transition dynamics and low non‐radiative recombination losses, as corroborated by the millisecond lifetimes of microwave conductivity. By constructing near‐edge states in positive‐intrinsic‐negative inverted cells, a champion efficiency of 25.4% (25.0% certified) for a 0.07‐cm<jats:sup>2</jats:sup> cell and 23.6% (22.7% certified) for a 1‐cm<jats:sup>2</jats:sup> cell is achieved. The most stable encapsulated cell retains 90% of its initial efficiency after 1100 h of maximum power point tracking under one sun illumination (100 mW cm<jats:sup>−2</jats:sup>) at 65 °C in ambient air.</jats:p>",Advanced Materials,Wiley,True,Experimental single-junction PSC optimization with performance data,False
10.1002/adma.202408101,High‐Efficiency Inverted Perovskite Solar Cells via In Situ Passivation Directed Crystallization,"<jats:title>Abstract</jats:title><jats:p>Lead halide perovskite solar cells (PSCs) have emerged as one of the influential photovoltaic technologies with promising cost‐effectiveness. Though with mild processabilities to massive production, inverted PSCs have long suffered from inferior photovoltaic performances due to intractable defective states at boundaries and interfaces. Herein, an in situ passivation (ISP) method is presented to effectively adjust crystal growth kinetics and obtain the well‐orientated perovskite films with the passivated boundaries and interfaces, successfully enabled the new access of high‐performance inverted PSCs. The study unravels that the strong yet anisotropic ISP additive adsorption between different facets and the accompanied additive engineering yield the high‐quality (111)‐orientated perovskite crystallites with superior photovoltaic properties. The ISP‐derived inverted perovskite solar cells (PSCs) have achieved remarkable power conversion efficiencies (PCEs) of 26.7% (certified as 26.09% at a 5.97 mm<jats:sup>2</jats:sup> active area) and 24.5% (certified as 23.53% at a 1.28 cm<jats:sup>2</jats:sup> active area), along with decent operational stabilities.</jats:p>",Advanced Materials,Wiley,True,Experimental passivation optimization of single-junction inverted PSCs,False
10.1039/d4tc01871k,Tailoring the molecular size of alkylamine modifiers for fabricating efficient and stable inverted CsPbI<sub>3</sub> perovskite solar cells,<jats:p>Three alkylamine modifiers with different molecular sizes were incorporated to post-treat CsPbI<jats:sub>3</jats:sub> films to systematically investigate the effect of alkyl chain length on device performance.</jats:p>,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),True,experimental modifier optimization for single-junction PSCs,False
10.1039/d4tc03821e,Efficient and stable perovskite solar cells based on insulating polymer modified ZnO nanoparticles,"<jats:p>This approach, combining an insulating polymer with ZnO NPs, offers a simple and economical pathway towards the commercialization of PSCs.</jats:p>",Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),True,Experimental ETL modification for single-junction PSCs,False
10.1002/solr.202201055,A Facile Solvent Strategy Enables Morphology Controllable Perovskite Films for CsPbBr<sub>3</sub> Perovskite Solar Cells,"<jats:sec><jats:label/><jats:p>The CsPbBr<jats:sub>3</jats:sub> perovskite solar cells (PSCs) display extensive potential due to their good thermal and humidity stability, but the presence of heterogeneous phases severely limits the further improvement of device performance. Phase‐pure monoclinic CsPbBr<jats:sub>3</jats:sub> can be stabilized by using the printable mesoscopic device structure. However, it is challenging to obtain high‐quality perovskite crystals in such confined space. Herein, a solvent strategy is used for improving the perovskite crystallization in the printable mesoscopic structure. By using N‐methylformamide as the precursor solvent, the PbBr<jats:sub>2</jats:sub> exhibits a more uniform and controllable distribution, which benefits the CsPbBr<jats:sub>3</jats:sub> crystallization. As a result, the CsPbBr<jats:sub>3</jats:sub> inside the pores showed obvious orientation at (100) lattice plane and (110) crystal plane. The efficiency of modified PSCs increases from 7.53% to 8.32%. Based on the device with effective area of 1 cm<jats:sup>2</jats:sup>, the PSCs obtain a power conversion efficiency of 5.62%. In addition, PSCs show no obvious attenuation after 1000 h of maximum power point tracking, displaying the excellent illumination stability.</jats:p></jats:sec>",Solar RRL,Wiley,True,},False
10.1002/solr.202300858,Practical and Thermal Atomic Layer Deposition of NiO as Hole‐Transporting Layers for Inverted Perovskite Solar Cells,"<jats:p>The power conversion efficiency (PCE) of perovskite solar cells (PSCs) has significantly improved through advancements in fabrication methods, which have primarily focused on the perovskite absorber layer. The significance of improving the charge transport layer as the next crucial step toward achieving highly stable and efficient PSCs has also been emphasized. In inverted PSCs (i‐PSCs), the selection of a suitable p‐type hole‐transporting layer (HTL) has been restricted to mainly organic materials due to the rarity of p‐type inorganics. The instability and inherent disadvantages of organics necessitate the use of stable p‐type oxides as HTLs for i‐PSCs. Herein, uniform, conformal, and practical, yet thermal atomic layer deposition (ALD) for NiO is demonstrated by employing two different oxidant, ozone (O<jats:sub>3</jats:sub>) and hydrogen peroxide (H<jats:sub>2</jats:sub>O<jats:sub>2</jats:sub>). Both ALD‐NiO films are characterized by X‐ray diffraction and X‐ray reflection. By conducting X‐ray photoelectron spectroscopy analysis of the ALD‐NiO surfaces, a correlation between the oxidation power of the oxidant during ALD and the surface oxidation state of the ALD‐NiO films is established. Finally, the relationship between the oxidation state of the surfaces with different oxidant and the i‐PSC performance is verified. The fabricated i‐PSCs exhibit a PCE exceeding 19%.</jats:p>",Solar RRL,Wiley,True,Experimental HTL fabrication & PSC optimization,False
10.1126/sciadv.abj7930,23.7% Efficient inverted perovskite solar cells by dual interfacial modification,<jats:p>A dual interfacial modification simultaneously improves all photovoltaic parameters of inverted perovskite solar cells.</jats:p>,Science Advances,American Association for the Advancement of Science (AAAS),True,Experimental optimization of single-junction PSC,True
10.1002/solr.202300603,Improved Efficiency and Stability of Perovskite Solar Cells by Binary Perovskite–Organic Composite Thin Film,"<jats:p>Regulating perovskite film crystallization and avoiding bulk defects during the deposition process are essential for achieving perovskite solar cells (PSCs) with excellent power conversion efficiency (PCE) and stability. Herein, the synergistic effects between n‐type, narrow‐bandgap conjugated organic molecules (2,2′‐((2<jats:italic>Z</jats:italic>,2′<jats:italic>Z</jats:italic>)‐((5,5′‐(4,4,9,9‐tetrakis(4‐hexylphenyl)‐4,9‐dihydros‐indaceno[1,2‐b:5,6‐<jats:italic>b</jats:italic>′]dithiophene‐2,7‐diyl)bis(4‐((2‐ethylhexyl)oxy)thiophene‐5,2‐diyl))bis(methanylylidene))bis(3‐oxo‐2,3‐dihydro‐1H‐indene‐2,1‐diylidene))dimalononitrile [IEICO]) and perovskites on film surface morphology and stability, and the regulation mechanism on bulk defects in MAPb(I<jats:sub>0.97</jats:sub>Br<jats:sub>0.03</jats:sub>)<jats:sub>3</jats:sub>:IEICO films are explored. The results of theoretical and experimental studies indicate that a large number of electrons on the CO and C≡N surface functional groups of IEICO can function as Lewis bases and exhibit strong interactions with uncoordinated Pb<jats:sup>2+</jats:sup> ions, substantially reducing bulk defects. Moreover, the resulting MAPb(I<jats:sub>0.97</jats:sub>Br<jats:sub>0.03</jats:sub>)<jats:sub>3</jats:sub>:IEICO film exhibits an optical response in the near‐infrared region and an increased crystallite size. Consequently, the MAPb(I<jats:sub>0.97</jats:sub>Br<jats:sub>0.03</jats:sub>)<jats:sub>3</jats:sub>:IEICO PSCs with a p–i–n device structure demonstrate a PCE exceeding 20%. In addition, the MAPb(I<jats:sub>0.97</jats:sub>Br<jats:sub>0.03</jats:sub>)<jats:sub>3</jats:sub>:IEICO PSCs possess superior stability and negligible photocurrent hysteresis. These results suggest that the incorporation of near‐infrared organic molecules into perovskites provides a simple method to achieve high‐performance PSCs and realize the utilization of near‐infrared wavelengths.</jats:p>",Solar RRL,Wiley,True,Experimental defect-passivation and performance optimization of single-junction PSC,False
10.1002/adfm.202104396,High‐Performance ITO‐Free Perovskite Solar Cells Enabled by Single‐Walled Carbon Nanotube Films,"<jats:title>Abstract</jats:title><jats:p>The unprecedented advancement in power conversion efficiencies (PCEs) of perovskite solar cells (PSCs) has rendered them a promising game‐changer in photovoltaics. However, unsatisfactory environmental stability and high manufacturing cost of window electrodes are bottlenecks impeding their commercialization. Here, a strategy is introduced to address these bottlenecks by replacing the costly indium tin oxide (ITO) window electrodes via a simple transfer technique with single‐walled carbon nanotubes (SWCNTs) films, which are made of earth‐abundant elements with superior chemical and environmental stability. The resultant devices exhibit PCEs of ≈19% on rigid substrates, which is the highest value reported to date for ITO‐free PSCs. The facile approach for SWCNTs also enables application in flexible PSCs (f‐PSCs), delivering a PCE of ≈18% with superior mechanical robustness over their ITO‐based counterparts due to the excellent mechanical properties of SWCNTs. The SWCNT‐based PSCs also deliver satisfactory performances on large‐area (1 cm<jats:sup>2</jats:sup> active area in this work). Furthermore, these SWCNT‐based PSCs can retain over 80% of original PCEs after exposure to air over 700 h while ITO‐based devices only sustain ≈60% of initial PCEs. This work paves a promising way to accelerate the commercialization of ITO‐free PSCs with reduced material cost and prolonged lifetimes.</jats:p>",Advanced Functional Materials,Wiley,True,Experimental ITO‑free single‑junction PSC fabrication and testing,False
10.1002/smll.202310455,Chemical Reaction of FA Cations Enables Efficient and Stable Perovskite Solar Cells,"<jats:title>Abstract</jats:title><jats:p>Organometal halide perovskite solar cells (PSCs) have received great attention owing to a rapid increase in power conversion efficiency (PCE) over the last decade. However, the deficit of long‐term stability is a major obstacle to the implementation of PSCs in commercialization. The defects in perovskite films are considered as one of the primary causes. To address this issue, isocyanic acid (HNCO) is introduced as an additive into the perovskite film, in which the added molecules form covalent bonds with FA cations via a chemical reaction. This chemical reaction gives rise to an efficient passivation on the perovskite film, resulting in an improved film quality, a suppressed non‐radiation recombination, a facilitated carrier transport, and optimization of energy band levels. As a result, the HNCO‐based PSCs achieve a high PCE of 24.41% with excellent storage stability both in an inert atmosphere and in air. Different from conventional passivation methods based on coordination effects, this work presents an alternative chemical reaction for defect passivation, which opens an avenue toward defect‐mitigated PSCs showing enhanced performance and stability.</jats:p>",Small,Wiley,True,Experimental additive improves single-junction PSC performance,False
10.1038/s41467-020-19199-6,Methylamine-assisted growth of uniaxial-oriented perovskite thin films with millimeter-sized grains,"<jats:title>Abstract</jats:title><jats:p>Defects from grain interiors and boundaries of perovskite films cause significant nonradiative recombination energy loss, and thus perovskite films with controlled crystallinity and large grains is critical for improvement of both photovoltaic performance and stability for perovskite-based solar cells. Here, a methylamine (MA<jats:sup>0</jats:sup>) gas-assisted crystallization method is developed for fabrication of methylammonium lead iodide (MAPbI<jats:sub>3</jats:sub>) perovskite films. In the process, the perovskite film is formed via controlled release of MA0 gas molecules from a liquid intermediate phase MAPbI<jats:sub>3</jats:sub>·xMA<jats:sup>0</jats:sup>. The resulting perovskite film comprises millimeter-sized grains with (110)-uniaxial crystallographic orientation, exhibiting much low trap density, long carrier lifetime, and excellent environmental stability. The corresponding perovskite solar cell exhibits a power conversion efficiency (PCE) of ~ 21.36%, which is among the highest reported for MAPbI<jats:sub>3</jats:sub>-based devices. This method provides important progress towards the fabrication of high-quality perovskite thin films for low-cost, highly efficient and stable perovskite solar cells.</jats:p>",Nature Communications,Springer Science and Business Media LLC,True,Experimental film growth and single-junction PSC performance.,False
10.1002/solr.202500292,Transfer‐Imprinting‐Assisted Growth of 2D/3D Perovskite Heterostructure Based on Organic Cations with Different Chain Lengths for Efficient Perovskite Solar Cells,"<jats:p>2D/3D perovskite heterostructures have attracted tremendous attention and been widely used for efficient perovskite solar cells. The size of the spacer cation plays an important role in the formation of 2D perovskite layer and the device performance. Here, we compare the effect of organic cations with different chain lengths on the properties of 2D/3D perovskite heterostructures by using a transfer‐imprinting‐assisted growth (TIAG) process. It is found that the spacer cation with longer chain length (phenylbutylammonium iodide [PBAI]) is more conducive to forming 2D/3D perovskite heterojunction which can passivate the interface defects of perovskite films, compared to spacer cation with shorter chain length (phenylmethylammonium iodide [PMAI]). As a result, the power conversion efficiency (PCE) of the perovskite solar cells (PSCs) with PBAI spacer cation is improved more obviously with the champion PCE of 22.52%, compared to 20.52% of the pristine 3D perovskite device. This work demonstrates the effect of chain lengths on the formation and performance of 2D/3D perovskite heterostructures by using a solvent‐free imprinting growth process, which promotes the development of efficient 2D/3D PSCs.</jats:p>",Solar RRL,Wiley,True,Experimental 2D/3D single-junction PSC optimization,False
10.1002/adma.202302484,Highest‐Efficiency Flexible Perovskite Solar Module by Interface Engineering for Efficient Charge‐Transfer,"<jats:title>Abstract</jats:title><jats:p>The electron‐transport layer (ETL) plays an important role in improving the performance of flexible perovskite solar cells (F‐PSCs). Herein, a room‐temperature‐processed SnO<jats:sub>2</jats:sub>:OH ETL is demonstrated, that exhibits reduced defect density, in particular lower oxygen vacancy concentration, with better energy band alignment and more wettable surface for quality perovskite deposition. More importantly, an efficient electron‐transfer channel is produced between the ETL and the perovskite layer due to the formation of hydrogen bonds at the interface, resulting in enhanced electron extraction from the perovskite. As a result, the efficiency of a large‐area (36.50 cm<jats:sup>2</jats:sup>) flexible perovskite solar module based on MAPbI<jats:sub>3</jats:sub> is increased to as high as 18.71%; this is thought to be the highest reported PCE value for flexible perovskite solar modules to date. In addition, it exhibits high durability while maintaining over 83% of its initial PCE after flexing test cycles. Further, F‐PSCs with SnO<jats:sub>2</jats:sub>:OH show remarkably long‐term stability, owing to a high quality of the perovskite film and a strong coupling between the SnO<jats:sub>2</jats:sub>:OH and perovskite layer caused by hydrogen bonds, which successfully inhibits moisture permeation.</jats:p>",Advanced Materials,Wiley,True,Experimental ETL optimization for single-junction PSC,False
10.1002/aenm.202203505,Synchronous Modulation of Defects and Buried Interfaces for Highly Efficient Inverted Perovskite Solar Cells,"<jats:title>Abstract</jats:title><jats:p>Suppressing nonradiative recombination in perovskite solar cells (PSCs) is crucial for increases in their power conversion efficiency and operational stability. Here, it is reported that the synchronous use of a molecule daminozide (DA), as an interlayer and additive to judiciously construct a PTAA:F4TCNQ/DA/perovskite:DA hole‐selective heterojunction that diminishes thermionic losses for collecting holes at the buried interface between perovskites and PTAA:F4TCNQ, and reduces defect sites at such buried interfaces as well as in the perovskite film. The proposed “three birds with one stone” strategy significantly promotes charge transport, and both the interface carrier recombination and defect‐assisted recombination are suppressed. As a result, a remarkably improved efficiency of 22.15% and an impressive fill factor of 83.92% are achieved with excellent device stability compared to 19.04% of the control device. The two values are the highest records for polycrystalline MAPbI<jats:sub>3</jats:sub>‐based p‐i‐n structural PSCs reported to date. The work provides a promising approach of three birds with one stone, employing a functional material for further improvement of PSC performance.</jats:p>",Advanced Energy Materials,Wiley,True,Experimental defect/interface optimization of single-junction PSC,False
10.1002/adfm.202206585,Dopant‐Free Phthalocyanine Hole Conductor with Thermal‐Induced Holistic Passivation for Stable Perovskite Solar Cells with 23% Efficiency,"<jats:title>Abstract</jats:title><jats:p>Simultaneous passivation of the defects at the surface and grain boundaries of perovskite films is crucial to achieve efficient and stable perovskite solar cells (PSCs). It is highly desirable to accomplish the above passivation through rational engineering of hole transport materials (HTMs) in combination with appropriate procedure optimization. Here, methylthiotriphenylamine‐substituted copper phthalocyanine (SMe‐TPA‐CuPc) is reported as a dopant‐free HTM for PSCs, exhibiting excellent efficiency, and stability. After thermal annealing, SMe‐TPA‐CuPc molecules diffused into the bulk of the perovskite film and effectively passivated the defects in the bulk and at the interface of the perovskite, owing to the strong interaction between the methylthio moiety and undercoordinated lead. The best‐performing annealed SMe‐TPA‐CuPc‐based device shows efficiency of 21.51%, which is higher than the unannealed SMe‐TPA‐CuPc‐based device (power‐conversion efficiency (PCE) of 20.75%) and reference doped spiro‐OMeTAD‐based device (PCE of 20.61%). Further modification of the perovskite of the annealed SMe‐TPA‐CuPc‐based device by the QAPyBF4 additive result in even higher efficiency of 23.0%. It also shows excellent stability, maintaining 96% of its initial efficiency after 3624 h aging at 85 °C. This work highlights the great potential of phthalocyanine‐based dopant‐free HTMs and the defect passivation by thermal‐induced molecular diffusion strategy for developing highly efficient and stable PSCs.</jats:p>",Advanced Functional Materials,Wiley,True,Experimental HTM optimization for single-junction PSCs,False
10.1002/smtd.202300399,Sol‐Gel Prepared Spinel HTLs for Assembling 20% Efficiency Perovskite Solar Cell in Air Without Using Anti‐Solvent and Toxic Solvent,"<jats:title>Abstract</jats:title>
                  <jats:p>
                    Low‐temperature sol‐gel prepared ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    spinel‐based thin films are developed as high‐performance hole transporting layer (HTL) for coating perovskite film (NA‐Psk) from the basic MAPbI
                    <jats:sub>3</jats:sub>
                    /ACN/CH
                    <jats:sub>3</jats:sub>
                    NH
                    <jats:sub>2</jats:sub>
                    solution in air without using anti‐solvent. Inverted PSC based on 2 mole% (vs Zn) Cu
                    <jats:sup>2+</jats:sup>
                    doped ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    (2%Cu@ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    ) HTL and NA‐Psk absorber exhibit the maximum power conversion efficiency (PCE) of 20.0% with no current hysteresis while the cell based on ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    and PEDOT:PSS HTL (using NA‐Psk absorber) achieves the PCE of 15.79% and 12.3% with a current hysteresis index of 9.8% and 32.4%, respectively. Without encapsulation, PSCs based on 2%Cu@ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    , ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    , and PEDOT:PSS HTLs maintain 90%, 77%, and 12%, respectively of the original efficiency by standing in ambient atmosphere (temperature: 20–25 °C, RH:30%–40%) for 1800 h. Large area (10 cm × 10 cm substrate) perovskite mini‐module (PSM) with PCE over 15% is also demonstrated by using sol‐gel prepared 2%Cu@ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    HTL. The poor photovoltaic performance of PEDOT:PSS HTL is due to the basic MAPbI
                    <jats:sub>3</jats:sub>
                    /ACN/CH
                    <jats:sub>3</jats:sub>
                    NH
                    <jats:sub>2</jats:sub>
                    solution will deprotonate the acidic PEDOT:PSS to reduce its conductivity whereas ZnCo
                    <jats:sub>2</jats:sub>
                    O
                    <jats:sub>4</jats:sub>
                    HTL are not affected by basic perovskite precursor solution.
                  </jats:p>",Small Methods,Wiley,True,Experimental single-junction PSC fabrication and HTL optimization,False
10.1002/adma.202212258,Multifunctional Hybrid Interfacial Layers for High‐Performance Inverted Perovskite Solar Cells,"<jats:title>Abstract</jats:title><jats:p>Challenges remain hindering the performance and stability of inverted perovskite solar cells (PSCs), particularly for the nonstable interface between lead halide perovskite and charge extraction metal oxide layer. Herein, a simple yet scalable interfacial strategy to facilitate the assemble of high‐performance inverted PSCs and scale‐up modules is reported. The hybrid interfacial layer containing self‐assembly triphenylamine and conjugated poly(arylamine) simultaneously improves the chemical stability, charge extraction, and energy level alignment of hole‐selective interface, meanwhile promoting perovskite crystallization. Consequently, the correspondent inverted PSCs and modules achieve remarkable power conversion efficiencies (PCEs) of 24.5% and 20.7% (aperture area of 19.4 cm<jats:sup>2</jats:sup>), respectively. The PSCs maintain over 80% of its initial efficiency under one‐sun equivalent illumination of 1200 h. This strategy is also effective to perovskite with various bandgaps, demonstrating the highest PCE of 19.6% for the 1.76‐eV bandgap PSCs. Overall, this work provides a simple yet scalable interfacial strategy for obtaining state‐of‐the‐art inverted PSCs and modules.</jats:p>",Advanced Materials,Wiley,True,Experimental interface optimization for single-junction inverted PSCs,False
10.1002/smll.202311755,Dual Defect Passivation at the Buried Interface for Printable Mesoscopic Perovskite Solar Cells with Reduced Open‐Circuit Voltage Loss,"<jats:title>Abstract</jats:title><jats:p>Numerous defects exist at the buried interface between the perovskite and adjacent electron transport layers in perovskite solar cells, resulting in severe non‐radiative recombination and excessive open‐circuit voltage (<jats:italic>V</jats:italic><jats:sub>OC</jats:sub>) loss. Herein, a dual defect passivation strategy utilizing guanidine sulfate (GUA<jats:sub>2</jats:sub>SO<jats:sub>4</jats:sub>) as an interface modifier is first reported. On the one hand, the SO<jats:sub>4</jats:sub><jats:sup>2−</jats:sup> preferentially interacts with Pb‐related defects, generating water‐insoluble lead oxysalts complexes. Additionally, GUA<jats:sup>+</jats:sup> diffuses into the perovskite and induces the formation of low‐dimensional perovskite. These reactions effectively suppress trap states at the buried interface and perovskite boundaries in printable mesoscopic perovskite solar cells (p‐MPSCs), thus increasing the carrier lifetime. Meanwhile, GUA<jats:sub>2</jats:sub>SO<jats:sub>4</jats:sub> optimizes the interface energy band alignment, thus accelerating the charge extraction and transfer at the buried interface. This synergistic effect of trap passivation and interface energy band alignment modulation is strongly demonstrated by an increase in average <jats:italic>V</jats:italic><jats:sub>OC</jats:sub> of 70 mV and the power conversion efficiency improvement from 17.51% to 18.70%. This work provides a novel approach to efficiently improve the performance of p‐MPSCs through dual‐targeted defect passivation at the buried interface.</jats:p>",Small,Wiley,True,Experimental interface passivation in single-junction PSCs,False
10.1002/solr.202400011,Collaborative Management of Light‐Absorbing Supplementation and Defect Passivation Based on Green‐Emitting ((CH<sub>3</sub>)<sub>4</sub>N)<sub>2</sub>(C<sub>2</sub>H<sub>5</sub>)<sub>4</sub>N·MnBr<sub>4</sub> Single Crystals for Efficient and Stable Inverted Perovskite Solar Cells,"<jats:p>In conventional p–<jats:italic>i</jats:italic>–n inverted perovskite solar cells (PSCs), there exists considerable energy loss due to both unsatisfactory light path design and trap‐induced interfacial defects. The sunlight is absorbed competitively by conductive oxide substrates and hole transport material in front of the perovskite layer, while the opaque metal back electrode also prevents light penetration. Worse yet, there is severe nonradiative charge recombination caused by defects between the perovskite layer and the electron transport material. To tackle the above two issues, a new green‐emitting material ((CH<jats:sub>3</jats:sub>)<jats:sub>4</jats:sub> N)<jats:sub>2</jats:sub>(C<jats:sub>2</jats:sub>H<jats:sub>5</jats:sub>)<jats:sub>4</jats:sub>N·MnBr<jats:sub>4</jats:sub> is synthesized and introduced in/on the perovskite layer to achieve both defect passivation and light complementation. The green luminescence of this single crystal at the interface is found to provide secondary light absorption, as evidenced by a remarkable promotion of short‐circuit current density. It is also found that the excess PbI<jats:sub>2</jats:sub> on the surface of perovskite can be effectively removed, and as the interfacial additive, ((CH<jats:sub>3</jats:sub>)<jats:sub>4</jats:sub> N)<jats:sub>2</jats:sub>(C<jats:sub>2</jats:sub>H<jats:sub>5</jats:sub>)<jats:sub>4</jats:sub> N·MnBr<jats:sub>4</jats:sub> inhibits trap‐assisted recombination losses, which provides favorable energy‐level alignment and extends charge carrier lifetime. As a result, the champion PCE (21.23%) of the target‐treated ((CH<jats:sub>3</jats:sub>)<jats:sub>4</jats:sub> N)<jats:sub>2</jats:sub>(C<jats:sub>2</jats:sub>H<jats:sub>5</jats:sub>)<jats:sub>4</jats:sub> N·MnBr<jats:sub>4</jats:sub> device exceeds that 19.5% of the pristine‐without ((CH<jats:sub>3</jats:sub>)<jats:sub>4</jats:sub> N)<jats:sub>2</jats:sub>(C<jats:sub>2</jats:sub>H<jats:sub>5</jats:sub>)<jats:sub>4</jats:sub> N·MnBr<jats:sub>4</jats:sub> device. This work provides an effective interfacial strategy for high‐performance and stable inverted PSCs.</jats:p>",Solar RRL,Wiley,True,Experimental additive improves single‑junction inverted PSC performance,False
